Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,RHH_OPS,RHH_HR/9,RHH_SO/BB,RHH_ERA,RHH_WHIP
Tim Mayza,15042,TOR,26,118,7.6154,25,6,0,22,22,4,14,2,0,32,0.247524752,0.333333333,0.425742574,0.316398023,0.759075907,1.384615385,2.285714286,7.6154,1.5
Lou Trivino,15043,OAK,29,136,4.3448,30,6,0,15,14,3,17,1,3,33,0.263157894,0.367647058,0.394736842,0.330242266,0.7623839,0.931034483,1.941176471,4.3448,1.620689655
Trevor Gott,15046,SFG,32.2,135,3.8571,26,2,1,14,14,4,12,0,2,38,0.220338983,0.298507462,0.355932203,0.283320838,0.654439665,1.118012422,3.166666667,3.8571,1.180124224
Yency Almonte,15068,COL,24,102,4.875,22,7,0,13,13,5,8,0,1,20,0.241758241,0.306930693,0.483516483,0.328237371,0.790447176,1.875,2.5,4.875,1.25
Hunter Wood,15091,2 Tms,25.1,102,4.2632,24,4,1,16,12,6,4,0,0,28,0.244897959,0.274509803,0.489795918,0.314695699,0.764305721,2.151394422,7,4.2632,1.115537849
Jake Newberry,15136,KCR,20,84,3.15,12,3,0,7,7,3,11,0,1,21,0.173913043,0.285714285,0.347826086,0.273794047,0.633540371,1.35,1.909090909,3.15,1.15
Jimmy Yacabonis,15157,BAL,21.1,104,6.75,28,7,0,17,16,3,14,0,2,20,0.318181818,0.423076923,0.5,0.395103302,0.923076923,1.279620853,1.428571429,6.75,1.990521327
Kevin McCarthy,15240,KCR,38.1,161,3.5217,41,11,0,16,15,2,8,1,2,29,0.277027027,0.320754716,0.391891891,0.303049844,0.712646607,0.472440945,3.625,3.5217,1.286089239
Adam Cimber,15288,CLE,43.2,182,3.2977,40,5,1,17,16,3,14,1,1,31,0.243902439,0.303867403,0.341463414,0.278232303,0.645330817,0.625,2.214285714,3.2977,1.25
Chad Green,15552,NYY,25.1,112,4.9737,28,5,0,14,14,5,7,0,1,27,0.27184466,0.321428571,0.466019417,0.330225087,0.787447988,1.792828685,3.857142857,4.9737,1.394422311
Nick Wittgren,15594,CLE,36,141,1.75,27,7,0,10,7,5,8,0,0,37,0.203007518,0.24822695,0.368421052,0.260856702,0.616648002,1.25,4.625,1.75,0.972222222
Miguel Castro,15684,BAL,49.1,205,5.1081,39,9,0,30,28,7,21,2,0,55,0.217877094,0.292682926,0.38547486,0.283957109,0.678157786,1.283095723,2.619047619,5.1081,1.221995927
Jimmy Cordero,15690,2 Tms,23,87,2.7391,18,3,1,7,7,3,2,0,2,19,0.216867469,0.252873563,0.385542168,0.268762266,0.638415731,1.173913043,9.5,2.7391,0.869565217
Joe Jimenez,15761,DET,33.2,140,3.7426,29,8,0,17,14,8,10,0,3,44,0.228346456,0.3,0.48031496,0.325822069,0.78031496,2.168674699,4.4,3.7426,1.174698795
Zack Littell,15823,MIN,21.1,85,2.9531,20,4,1,7,7,3,4,0,0,19,0.24691358,0.282352941,0.432098765,0.29894995,0.714451706,1.279620853,4.75,2.9531,1.137440758
Paul Fry,15832,BAL,31,137,6.0968,29,6,1,26,21,1,16,1,2,34,0.243697478,0.343065693,0.336134453,0.300170138,0.679200146,0.290322581,2.125,6.0968,1.451612903
Wander Suero,15855,WSN,38.1,154,5.8696,28,8,0,25,25,5,14,3,3,47,0.207407407,0.292207792,0.377777777,0.279642321,0.669985569,1.181102362,3.357142857,5.8696,1.102362205
Justin Shafer,16132,TOR,22.2,98,3.9706,23,6,1,10,10,2,10,0,1,20,0.264367816,0.346938775,0.425287356,0.331680975,0.772226131,0.810810811,2,3.9706,1.486486486
Jace Fry,16159,CHW,31,145,5.8065,28,4,0,24,20,7,24,2,1,38,0.235294117,0.368055555,0.445378151,0.346003014,0.813433706,2.032258065,1.583333333,5.8065,1.677419355
Justin Anderson,16201,LAA,25.1,115,5.329,22,7,1,18,15,2,16,0,1,31,0.226804123,0.339130434,0.381443298,0.314121324,0.720573732,0.717131474,1.9375,5.329,1.513944223
Aaron Bummer,16258,CHW,42.1,168,2.5512,27,2,0,12,12,3,20,2,3,39,0.1875,0.299401197,0.263888888,0.254340882,0.563290085,0.641330166,1.95,2.5512,1.116389549
Jesus Tinoco,16300,COL,22.1,88,4.0299,18,5,1,10,10,5,8,0,1,22,0.227848101,0.306818181,0.506329113,0.336804997,0.813147294,2.036199095,2.75,4.0299,1.176470588
Brad Wieck,16390,2 Tms,22,96,4.0909,15,3,0,11,10,4,12,0,2,37,0.182926829,0.302083333,0.365853658,0.292572511,0.667936991,1.636363636,3.083333333,4.0909,1.227272727
Ryan Yarbrough,16502,TBR,42.1,167,2.9764,36,10,1,16,14,4,5,1,0,32,0.222222222,0.245508982,0.37037037,0.25588393,0.615879352,0.855106888,6.4,2.9764,0.973871734
Jonathan Holder,16588,NYY,23.2,102,6.0845,24,4,0,19,16,6,4,0,1,27,0.24742268,0.284313725,0.474226804,0.31528205,0.758540529,2.327586207,6.75,6.0845,1.206896552
